school,location,median_family_income,avg_family_income_percentile,pct_from_top_0_1,pct_from_top_1,pct_from_top_5,pct_from_top_10,pct_from_top_20,pct_from_bottom_20,median_individual_income_age34,median_income_age34_men,median_income_age34_women,avg_income_percentile_age34,pct_end_in_top_1,pct_end_in_top_5,pct_end_in_top_10,pct_end_in_top_20,pct_end_in_bottom_20,avg_income_percentile_poor_students,avg_income_percentile_rich_students,pct_married_2014,pct_moved_up_2plus_quintiles,pct_bottom_to_top_quintile,pct_poor_student_becomes_rich,peer_group,peer_group_size,rank_median_family_income,rank_top_1_pct,rank_top_20_pct,rank_bottom_20_pct,rank_poor_to_rich,rank_median_income_age34,rank_mobility_index
University of Pennsylvania,"Philadelphia, PA",195500,82,3.6,19,45,58,71,3.3,91800,110200,76400,79,23,46,57,69,8.4,72,80,59,13,2.1,58,Ivy League and selected elite colleges,12,,4,2,9,6,2,5
University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",109000,71,1,2.5,16,30,50,6.1,59700,71400,51100,72,5,21,35,54,8.5,65,75,60,17,2.1,42,Highly selective public colleges,27,15,11,15,9,19,10,13
